MacroPlot Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPN 18,8/14/2024 3:12:51 PM,1,2,5,1,18.5,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,2,2,5,2,19.5,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,3,2,5,3,3,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,4,2,5,4,3,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,5,3,12,5,14,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,6,3,12,6,22,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,7,4,12,7,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,,,,,,,,,,,,4,50,Westfahl,Brannfors,,,,No CWD,True,
PIPO 39,6/16/2024 1:03:37 PM,,,,,,,,,,,,4,100,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 39,6/16/2024 1:03:37 PM,1,1,3,1,4,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,2,1,3,2,5,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,3,1,3,3,11.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,4,1,3,4,5.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,5,1,3,5,10,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,6,1,3,6,8.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,7,1,3,7,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,8,1,3,8,7,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,9,3,3,9,4.5,3,PIPO,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,,,,,,,,,,,,4,50,Lalor,Brannfors,,,,,True,
PIPN 22,8/15/2024 3:16:02 PM,1,4,1,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,2,4,1,2,9.5,3,PIPN,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,,,,,,,,,,,,4,50,Lalor; Gilmore,Gilmore,,,,,True,
PIPN 15,8/13/2024 3:09:06 PM,1,1,30,1,13,4,PIPN,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,2,1,30,2,12,3,PIPN,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,3,1,30,3,10,3,PIPN,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,,,,,,,,,,,,4,100,Tumicki; Lalor,Tumicki,,,,,True,
PIPO 33,6/14/2024 12:58:42 PM,1,1,3,1,3,4,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,2,1,3,2,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,3,3,3,3,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,4,3,3,4,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,5,3,3,5,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,6,3,3,6,16.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,7,3,3,7,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,8,4,0,8,4.5,4,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,9,4,0,9,3,4,PIPO,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,4,50,Lalor; You-Mak,Gilmore,,,,,True,
PIAB 25,8/6/2024 11:02:09 AM,1,1,10,1,4,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,2,2,2,2,4,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,3,2,2,3,6.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,4,2,2,4,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,5,2,2,5,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,6,2,2,6,3,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,7,2,2,7,5,3,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,8,3,1,8,5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,9,4,0,9,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,10,4,0,10,6.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,11,4,0,11,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,12,4,0,12,5,4,PIAB,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,,,,,,,,,,,,4,50,Brannfors; Gilmore,Gilmore,,,,,True,
PIPN 19,8/14/2024 3:13:57 PM,1,1,3,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,2,2,1,2,3,4,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,3,3,1,3,8,3,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,4,3,1,4,4,4,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,5,4,1,5,6.5,4,PIPN,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,,,,,,,,,,,,4,50,Gilmore; Westfahl,Gilmore,,,,,True,
PIPN 17,8/14/2024 3:11:36 PM,1,1,4,1,9.5,4,PIPN,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,2,1,4,2,3.5,3,PIPN,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,,,,,,,,,,,,4,100,Garber; Gilmore; Brannfors,Tumicki,,,,,True,
PIPO 29,6/14/2024 12:43:28 PM,1,1,0,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,2,1,0,2,5,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,3,2,4,3,17,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,4,2,4,4,3,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,5,3,3,5,10,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,6,3,3,6,4,3,PIPO,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,4,50,Brannfors; Lalor,Westfahl,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,1,5,1,16,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,2,1,5,2,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,3,1,5,3,17,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,4,2,20,4,12,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,5,2,20,5,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,6,2,20,6,13,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,7,2,20,7,7,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,8,2,20,8,9,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,9,2,20,9,12.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,10,2,20,10,5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,11,2,20,11,7.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,12,3,15,12,4,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,13,3,15,13,12,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,14,3,15,14,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,15,3,15,15,4,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,16,3,15,16,10,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,17,4,19,17,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,18,4,19,18,14,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,19,4,19,19,4,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,20,4,19,20,3.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,4,50,Brannfors; Tumicki,Westfahl,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,1,7,1,3.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,2,1,7,2,3,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,3,1,7,3,4.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,4,1,7,4,4,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,5,1,7,5,3,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,6,1,7,6,9,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,7,1,7,7,3,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,8,1,7,8,4.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,9,1,7,9,3.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,10,1,7,10,4,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,11,2,2,11,14,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,12,2,2,12,7,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,13,2,2,13,6,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,14,2,2,14,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,15,2,2,15,4.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,16,3,29,16,6,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,17,3,29,17,3,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,18,3,29,18,4,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,19,3,29,19,4.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,20,3,29,20,3,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,21,3,29,21,6,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,22,3,29,22,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,23,3,29,23,5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,24,3,29,24,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,25,4,16,25,15.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,26,4,16,26,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,27,4,16,27,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,28,4,16,28,9,3,PIEN,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,29,4,16,29,25,4,PIEN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,,,,,,,,,,,,4,50,Brannfors; Westfahl,Gilmore,,,,,True,
PIPN 21,8/13/2024 3:15:01 PM,1,1,7,1,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,2,1,7,2,4,3,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,3,1,7,3,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,4,1,7,4,25,4,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,5,2,7,5,10,3,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,6,2,7,6,6.5,3,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,7,2,7,7,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,8,3,25,8,19.5,4,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,9,4,20,9,14,3,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,10,4,20,10,11,4,PIPN,,,,,,,,,,,,,,
PIPN 21,8/13/2024 3:15:01 PM,11,4,20,11,18,3,PIPN,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,,,,,,,,,,,,4,50,Gilmore,Tumicki,,,,,True,
PIAB 24,9/9/2024 2:56:42 PM,1,1,7,1,6,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,2,1,7,2,3,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,3,2,15,3,4.5,4,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,4,2,15,4,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,5,2,15,5,7.5,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,6,3,5,6,10,4,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,7,3,5,7,7,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,8,3,5,8,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,9,4,2,9,9.5,4,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,10,4,2,10,3,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,11,4,2,11,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 24,9/9/2024 2:56:42 PM,12,4,2,12,6,4,PIAB,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,,,,,,,,,,,,4,50,Tumicki; Brannfors,Brannfors,,,,,True,
PIPN 06,8/13/2024 3:05:45 PM,1,1,3,1,12,3,PIPN,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,2,2,3,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 06,8/13/2024 3:05:45 PM,3,3,3,3,6,3,PIPN,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,,,,,,,,,,,,4,50,Brannfors; Gilmore,Gilmore,,,,,True,
PIAB 07,8/6/2024 10:12:36 AM,1,2,2,1,14.5,4,PIAB,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,2,3,1,2,18,3,PIAB,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,3,3,1,3,19.5,4,PIAB,,,,,,,,,,,,,,
PIAB 07,8/6/2024 10:12:36 AM,4,4,1,4,3.5,3,PIAB,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,,,,,,,,,,,,4,100,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 37,6/16/2024 1:02:01 PM,1,1,11,1,12.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,2,1,11,2,4,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,3,2,3,3,10.5,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,4,2,3,4,4,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,5,2,3,5,3,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,6,2,3,6,3,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,7,2,3,7,3.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,8,2,3,8,3,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,9,2,3,9,3,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,10,2,3,10,3.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,11,2,3,11,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,12,2,3,12,14.5,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,13,3,4,13,6,3,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,14,3,4,14,9.5,4,PIPO,,,,,,,,,,,,,,
PIPO 37,6/16/2024 1:02:01 PM,15,4,2,15,3.5,4,PIPO,,,,,,,,,,,,,,
